Model,Data,Method,Metric,Mean,StdErr,ParamStr
ann,german,lime,RIS,126134.1171875,6824.304118046554,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,lime,RRS,118443.78125,6516.557436194848,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,lime,ROS,2702530.5,241950.25002152365,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,shap,PGU,0.10331849157390202,0.006838583487132775,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,shap,PGI,0.06352125829980809,0.00433065556123899,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,shap,RIS,183204.875,2587.1158871228245,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,shap,RRS,171368.15625,3194.601266529298,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,shap,ROS,3866995.0,258018.77432691064,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,german,pfi,PGU,0.11899214046337096,0.007147647220791514,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,pfi,PGI,0.03200088253957733,0.0025965001231479175,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,pdp,PGU,0.11823831742627952,0.006819589752345453,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,pdp,PGI,0.03095501209560655,0.0024094214753934734,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,lime,PGU,0.08238987211714212,0.0029088502347536867,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,lime,PGI,0.08125712254557019,0.0028822237905538864,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,lime,RIS,41332.9609375,4043.019422690176,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,lime,RRS,34278.40625,2884.9496151657454,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,lime,ROS,1215028.25,72263.53899228202,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,shap,PGU,0.10643762581965728,0.0034230422092740792,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,shap,PGI,0.044075600749890115,0.001797494809141772,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
